name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,star_aliases
109 Psc b,Confirmed,5.743,0.289,1.011,6.383,0.078,0.078,1.152,,,1075.4,0.7,0.8,2.051,0.087,0.079,0.104,0.008,0.009,86.116,20.53,19.957,0.066339,2000,2024-06-14,112.816,5.448,5.254,2451492.0,17.0,17.0,,,,,,,,,,,,,,,,,,,114.583,1.196,1.067,,,,,,,,,,Published in a refereed paper,"Radial Velocity, Astrometry",Radial Velocity,Theoretical,HD 10697 b,,109 Psc,26.2326,20.08315,6.29,,,,,32.56,0.88,0.88,0.1,0.06,0.06,1.13,0.03,0.03,1.79,0.17,0.17,G5 IV,6.9,0.6,0.6,5600.0,80.0,80.0,,,HD 10697,"HD 10697, HIP 8159, GJ 72, HR 508, 2MASS J01445582+2004592, TYC 1211-1730-1, BD+19 282, SAO 92611, TIC 456905162, Gaia DR3 95652018353917056, AP J01445582+2004592, * 109 Psc, AG+19 140, AGKR 1522, GC 2131, GCRV 983, GEN# +1.00010697, GSC 01211-01730, HIC 8159, IRAS 01421+1949, PPM 91044, SKY# 2617, SPOCS 97, UBV 1768, UBV M 8396, YZ 19 497, uvby98 100010697, Gaia DR2 95652018353917056, PLX 365.01, WEB 1742"
112 Psc b,Confirmed,,0.005,0.004,0.033,0.005,0.004,,,,4.4,0.0004,0.0002,0.054,0.002,0.002,0.376,0.254,0.11,,,,,2022,2024-06-14,279.492,67.524,30.206,,,,,,,,,,,,,,,,,,,,,,4.157,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HD 12235 b,,112 Psc,30.03816479792542,3.097014011124166,5.88,,5.204,4.63,4.494,31.7627,0.10695,0.10695,0.31,0.1,0.1,1.1,0.133,0.133,1.801,0.0725,0.0725,G0IV,,,,5986.0,105.437,105.437,,,HD 12235,"HD 12235, HIP 9353, GJ 83.2, HR 582, LTT 10682, LSPM J0200+0305, 2MASS J02000916+0305490, TYC 40-1337-1, BD+02 311, SAO 110266, TIC 422679659, Gaia DR3 2511794495013074048, PLX 413, ASCC 1097092, USNO-B1.0 0930-00026982, * 112 Psc, AG+02 200, CSV 100157, GC 2416, GCRV 1102, GEN# +1.00012235, HIC 9353, N30 411, NLTT 6697, NSV 691, PPM 145195, ROT 279, SKY# 2936, SPOCS 107, SV* ZI 106, TD1 1152, UBV 2020, UBV M 8588, YPAC 284, YZ 2 560, uvby98 100012235, PLX 413.00, IRAS 01575+0251, AKARI-IRC-V1 J0200092+030547, WISEA J020009.33+030546.6, WEB 1963, Gaia DR2 2511794495013074048, 1RXS J020009.6+030541"
112 Psc c,Confirmed,9.866,1.781,3.19,,,,,,,36336.7,6039.4,9726.0,22.21,2.766,3.866,0.174,0.154,0.11,47.738,11.804,12.651,,2022,2024-06-14,79.772,31.067,15.493,,,,,,,,,,,,,,,,,,,,,,42.503,0.586,1.868,,,,,,,,,,Published in a refereed paper,"Radial Velocity, Astrometry",Astrometry,,HD 12235 c,,112 Psc,30.03816479792542,3.097014011124166,5.88,,5.204,4.63,4.494,31.7627,0.10695,0.10695,0.31,0.1,0.1,1.1,0.133,0.133,1.801,0.0725,0.0725,G0IV,,,,5986.0,105.437,105.437,,,HD 12235,"HD 12235, HIP 9353, GJ 83.2, HR 582, LTT 10682, LSPM J0200+0305, 2MASS J02000916+0305490, TYC 40-1337-1, BD+02 311, SAO 110266, TIC 422679659, Gaia DR3 2511794495013074048, PLX 413, ASCC 1097092, USNO-B1.0 0930-00026982, * 112 Psc, AG+02 200, CSV 100157, GC 2416, GCRV 1102, GEN# +1.00012235, HIC 9353, N30 411, NLTT 6697, NSV 691, PPM 145195, ROT 279, SKY# 2936, SPOCS 107, SV* ZI 106, TD1 1152, UBV 2020, UBV M 8588, YPAC 284, YZ 2 560, uvby98 100012235, PLX 413.00, IRAS 01575+0251, AKARI-IRC-V1 J0200092+030547, WISEA J020009.33+030546.6, WEB 1963, Gaia DR2 2511794495013074048, 1RXS J020009.6+030541"
11 Com Ab,Confirmed,,1.53491,1.53491,16.1284,1.53491,1.53491,,,,326.03,0.32,0.32,1.29,0.05,0.05,0.231,0.005,0.005,,,,0.011664,2007,2024-08-01,94.8,1.5,1.5,2452899.6,1.6,1.6,,,,,,,,,,,,,,,,,,,302.8,2.6,2.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,11 Com A,185.1791667,17.7927778,4.74,,,,,110.6,10.5,10.5,-0.35,0.09,0.09,2.7,0.3,0.3,19.0,2.0,2.0,G8III,,,,4742.0,100.0,100.0,,,HD 107383,"HD 107383, HIP 60202, HR 4697, 2MASS J12204305+1747341, TYC 1445-2560-1, BD+18 2592, SAO 100053, TIC 72437047, Gaia DR3 3946945413106333696, * 11 Com, ADS 8521 A, AG+18 1179, CCDM J12207+1748A, CSI+18 2592 1, FK5 2987, GC 16835, GCRV 7404, GSC 01445-02560, HIC 60202, IDS 12157+1821 A, IRAS 12181+1804, IRC +20241, JP11 2212, PMC 90-93 1313, PPM 128975, ROT 1809, SKY# 23129, TD1 16214, UBV 11083, UBV M 18084, YPAC 260, YZ 18 4649, Gaia DR2 3946945413106333696, WDS J12207+1748A, WEB 10703, GEN# +1.00107383, ** HO 52A"
11 UMi b,Confirmed,,1.1,1.1,11.0873,1.1,1.1,,,,516.22,3.25,3.25,1.54,0.07,0.07,0.08,0.03,0.03,,,,0.012887,2009,2023-03-03,117.63,21.06,21.06,2452861.05,2.06,2.06,,,,,,,,,,,,,,,,,,,189.7,7.15,7.15,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,11 UMi,229.275,71.8238889,5.02,,,,,119.5,6.9,6.9,0.04,0.04,0.04,1.8,0.25,0.25,24.08,1.84,1.84,K4III,1.56,0.54,0.54,4340.0,70.0,70.0,,,,"HD 136726, HIP 74793, HR 5714, 2MASS J15170588+7149258, TYC 4414-2315-1, BD+72 678, SAO 8207, TIC 230061010, AP J15170588+7149258, Gaia DR3 1696798367260229376, PLX 3472, * 11 UMi, AG+72 397, DO 34922, GC 20598, GCRV 8864, GEN# +1.00136726, GSC 04414-02315, HIC 74793, IRAS 15171+7200, IRC +70128, PPM 8870, RAFGL 4989S, ROT 2175, SKY# 27683, UBV 13227, UBV M 20730, Gaia DR2 1696798367260229376, PLX 3472.00, NAME Pherkad Minor, Gaia DR1 1696798367260229376, WEB 12760"
14 And Ab,Confirmed,,0.23,0.23,4.684,0.23,0.23,,,,185.84,0.23,0.23,0.83,,,0.0,,,,,,0.010864,2008,2024-07-30,,,,2452861.4,1.5,1.5,,,,,,,,,,,,,,,,,,,100.0,1.3,1.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,14 And A,352.8208333,39.2361111,5.22,4.1,3.02,2.61,2.33,76.4,4.1,4.1,-0.24,,,2.2,0.2,0.2,11.0,1.0,1.0,K0III,,,,4813.0,20.0,20.0,,,,
14 Her b,Confirmed,8.9,1.7,1.3,4.95,,,,,,1767.56,0.22,0.22,2.839,0.041,0.039,0.3683,0.0029,0.0029,146.7,9.74,4.584,0.153039,2002,2025-06-12,22.3,0.4,0.4,2451368.0,5.0,5.0,,,,,,,,,,,,,,,,,,,90.38,0.15,0.15,,,,,,,,,,Published in a refereed paper,"Radial Velocity, Astrometry",Astrometry,,HD 145675 b,,14 Her,242.5958333,43.8216667,6.67,,,,,18.1,,,0.43,0.08,0.08,0.9,,,0.708,0.085,0.085,K0 V,5.1,,,5311.0,87.0,87.0,,,,"HD 145675, HIP 79248, GJ 614, LTT 14816, LSPM J1610+4349, 2MASS J16102432+4349037, TYC 3067-576-1, BD+44 2549, SAO 45933, TIC 219483057, Gaia DR3 1385293808145621504, CNS5 3969, * 14 Her, PLX 3677, ASCC 414309, USNO-B1.0 1338-00266844, AG+43 1319, AGKR 14435, G 202-30, G 180-35, GC 21761, GCRV 9305, GEN# +1.00145675, HIC 79248, IRAS 16087+4356, NLTT 42191, PMC 90-93 4082, PPM 55229, SKY# 29203, SPOCS 690, UBV 13776, UBV M 21251, uvby98 100145675, PLX 3677.00, WISEA J161024.44+434900.5, Gaia DR1 1385293803850022528, WEB 13400, Gaia DR2 1385293808145621504, ** RBR 19A, WDS J16104+4349A"
14 Her c,Confirmed,7.9,1.2,1.6,7.12,,,,,,52160.0,1028.0,1028.0,20.0,4.9,12.0,0.52,0.12,0.16,116.3,9.167,24.64,0.381215,2006,2025-06-12,172.5,4.584,4.011,2451779.0,33.0,33.0,,,,,,,,,,,,,,,,,,,50.8,0.4,0.4,,,,,,,,,,Submitted to a professional journal,"Radial Velocity, Astrometry, Imaging",Astrometry,,HD 145675 c,,14 Her,242.5958333,43.8216667,6.67,,,,,18.1,,,0.43,0.08,0.08,0.9,,,0.708,0.085,0.085,K0 V,5.1,,,5311.0,87.0,87.0,,,,"HD 145675, HIP 79248, GJ 614, LTT 14816, LSPM J1610+4349, 2MASS J16102432+4349037, TYC 3067-576-1, BD+44 2549, SAO 45933, TIC 219483057, Gaia DR3 1385293808145621504, CNS5 3969, * 14 Her, PLX 3677, ASCC 414309, USNO-B1.0 1338-00266844, AG+43 1319, AGKR 14435, G 202-30, G 180-35, GC 21761, GCRV 9305, GEN# +1.00145675, HIC 79248, IRAS 16087+4356, NLTT 42191, PMC 90-93 4082, PPM 55229, SKY# 29203, SPOCS 690, UBV 13776, UBV M 21251, uvby98 100145675, PLX 3677.00, WISEA J161024.44+434900.5, Gaia DR1 1385293803850022528, WEB 13400, Gaia DR2 1385293808145621504, ** RBR 19A, WDS J16104+4349A"
16 Cyg Bb,Confirmed,,0.08,0.08,1.64,0.08,0.08,,,,799.5,0.6,0.6,1.68,0.03,0.03,0.689,0.011,0.011,,,,0.078468,1996,2024-07-28,83.4,2.1,2.1,2450539.3,1.6,1.6,,,,,,,,,,,,,,,,,,,50.5,1.6,1.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,16 Cyg B,295.4625,50.5175,6.2,,,,,21.41,0.24,0.24,0.08,0.04,0.04,1.01,0.04,0.04,0.98,0.13,0.13,G2.5 V,8.0,1.8,1.8,5766.0,60.0,60.0,,,"HD 186427, GJ 765.1 B","HD 186427, HIP 96901, GJ 765.1 B, HR 7504, LTT 15751, LSPM J1941+5031E, 2MASS J19415198+5031032, TYC 3565-1525-1, BD+50 2848, SAO 31899, TIC 27533327, Gaia DR3 2135550755683407232, CNS5 4878, ASCC 271120, USNO-B1.0 1405-00322540, * 16 Cyg B, ADS 12815 B, AG+50 1408, CCDM J19418+5031B, GC 27285, GCRV 12084, GEN# +1.00186427, HIC 96901, IDS 19392+5017 B, NLTT 48138, PPM 37673, ROT 2840, SKY# 36807, SPOCS 855, UBV 16780, UBV M 24082, USNO 890, YZ 50 6150, Gaia DR2 2135550755683407232, WDS J19418+5032B, AKARI-IRC-V1 J1941518+503102, ** STF 4046B, WISEA J194151.82+503102.2, Gaia DR1 2135550854464294784, WEB 17005, KIC 12069449"
18 Del Ab,Confirmed,,0.36,0.36,10.3,0.36,0.36,,,,993.3,3.2,3.2,2.6,,,0.08,0.01,0.01,,,,0.035568,2008,2024-08-02,166.1,6.5,6.5,2451672.0,18.0,18.0,,,,,,,,,,,,,,,,,,,119.4,1.3,1.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,18 Del A,314.6083333,10.8391667,5.52,,4.03,3.44,3.67,73.1,3.5,3.5,-0.052,0.023,0.023,2.3,,,8.5,,,G6III,,,,4979.0,18.0,18.0,,,HD 199665,"HD 199665, HIP 103527, HR 8030, 2MASS J20582594+1050214, TYC 1107-2709-1, BD+10 4425, SAO 106712, TIC 354489950, Gaia DR3 1756741374681702784, ** MUG 16A, * 18 Del, AG+10 2813, CCDM J20585+1049A, CSI+10 4425 1, GC 29266, GCRV 13170, GEN# +1.00199665, GSC 01107-02709, HIC 103527, IDS 20536+1027 A, PPM 139372, SKY# 39848, UBV M 25318, YZ 10 8257, Gaia DR2 1756741374681702784, 1RXS J205826.7+105032, WDS J20584+1050A, IRAS 20560+1038, AKARI-IRC-V1 J2058259+105021, NAME Musica, WEB 18832"
1RXS 1609 b,Confirmed,6.6,0.3,0.3,,,,1.7,,,,,,305.0,51.0,74.0,0.25,0.15,0.2,,,,2.22,2008,2026-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.0,,,,,4.0,Published in a refereed paper,Imaging,,,"1RXS J160929.1-210524 b, 1RXS J1609b, 1RXS J1609-2105b, RXJ 1609","CO, H2O, K",1RXS 1609,242.375,-21.0827778,,10.99,9.82,9.12,8.92,145.0,20.0,20.0,,,,0.73,0.05,0.05,1.35,,,K7V,0.011,0.002,0.002,4060.0,200.0,200.0,,,"1RXS1609, 1RXS J1609, 1RXS J160929.1-210524","2MASS J16093030-2104589, TIC 48964101, AP J16093030-2104589, Gaia DR3 6243841249531772800, 1RXS J160929.1-210524, GSC 06213-01358, Gaia DR2 6243841249531772800, [PZ99] J160930.3-210459, UCAC2 23395816, UCAC3 138-177429, USNO-B1.0 0689-00345540, DENIS J160930.3-210459, RIK 94, ** LAF 76A, WDS J16095-2105A, RX J1609.5-2105, UCAC4 345-079961, WISE J160930.30-210459.1, WISEA J160930.29-210459.2"
1RXS J103137.1-690205  b,Confirmed,36.5,2.4,2.4,,,,,,,,,,1725.0,,,,,,,,,,2022,2024-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,"Imaging, Astrometry",Astrometry,,2MASS J10313710-6901587 b,,1RXS J103137.1-690205,157.90465123574,-69.03299832299,11.82,,10.104,9.609,9.494,167.612736,,,,,,0.87,,,1.06,,,K2.5IVe,,,,4862.13,,,,,2MASS J10313710-6901587,"2MASS J10313710-6901587, TIC 397265144, Gaia DR3 5232514298297802880, RX J1031.6-6902, 1RXS J103137.1-690205, Gaia DR2 5232514298297802880, UCAC4 105-033568"
1RXS J105010.3-140431 b,Confirmed,15.0,5.0,5.0,,,,,,,1.48,,,,,,,,,,,,,2001,2025-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"NLTT 25473 b, LP 731-60 b, 2MASS J10501081-1404365 b",,1RXS J105010.3-140431,162.545014037,-14.0768777041,16.76,,16.74,,15.74,109.38,1.321,1.321,,,,,,,,,,DA,,,,18500.0,5500.0,5500.0,,,"NLTT 25473, LP 731-60, 2MASS J10501081-1404365","LP 731-60, 2MASS J10501081-1404365, TIC 410091786, Gaia DR3 3750072904055666176, 3XMM J105010.7-140437, AAVSO 1045-13, NLTT 25473, 1RXS J105010.3-140431, PM J10501-1404, Gaia DR2 3750072904055666176, 1eRASS J105010.8-140438"
1RXS J125608.8-692652 (AB)b,Confirmed,44.5,5.8,5.8,,,,,,,,,,503.0,,,,,,,,,,2024,2024-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,"Imaging, Astrometry",Astrometry,,2MASS J12560830-6926539 (AB)b,,1RXS J125608.8-692652,194.03461754608,-69.44835024525,11.831,10.048,8.91,8.25,7.99,98.6,,,,,,0.7,,,1.831,,,K7Ve,0.003,,,3971.38,,,,,2MASS J12560830-6926539,"2MASS J12560830-6926539, TYC 9245-535-1, TIC 334930665, Gaia DR3 5844909156504879360, RX J1256.1-6926, 2E 2892, [FS2003] 0655, 1RXS J125608.8-692652, 2E 1252.9-6910, [SZB2012] 51, ASAS J125608-6926.8, 2XMM J125608.4-692656, Gaia DR2 5844909156504879360"
1RXS J131752.0-505845 b,Confirmed,27.1,4.3,4.3,,,,,,,,,,5230.0,,,,,,,,,,2022,2025-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,"Imaging, Astrometry",Astrometry,,2MASS J13175314-5058481 b,,1RXS J131752.0-505845,199.47144072095,-50.98006282048,12.55,,9.978,9.326,9.151,157.0,,,,,,0.8,,,1.326,,,K5IVe,,,,4154.74,,,,,2MASS J13175314-5058481,"2MASS J13175314-5058481, TIC 245298317, Gaia DR3 6080854078239398016, 1RXS J131752.0-505845, Gaia DR2 6080854078239398016, UCAC4 196-081135"
1RXS J235133.3+312720 Ab,Confirmed,32.0,6.0,6.0,,,,,,,,,,120.0,20.0,20.0,,,,,,,,2012,2024-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,1RXS J235133.3+312720 A,357.890308282,31.4563946913,13.6,,,,,,,,,,,0.45,0.05,0.05,,,,M2V,0.1,0.05,0.05,,,,,,2MASS J23513366+3127229,"2MASS J23513366+3127229, TIC 125254756, Gaia DR3 2868476822978587904, RX J2351.5+3127, 1RXS J235133.3+312720, [SLS2012] PYC J23515+3127, PM J23515+3127, UCAC4 608-140905, Gaia DR2 2868476822978587904, ** BWL 1A, ** SKF 1319A, WDS J23516+3127A"
1SWASP J1407 b,Confirmed,,6.0,6.0,20.0,6.0,6.0,,,,3725.0,900.0,900.0,3.9,1.7,1.7,,,,,,,,2012,2014-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,,,1SWASP J1407,211.950000016,-39.761944469,12.4,,,,,133.0,12.0,12.0,,,,0.9,,,0.99,0.11,0.11,,0.016,,,4400.0,100.0,100.0,,,,
23 Lib b,Confirmed,,0.02,0.02,1.59,0.02,0.02,,,,258.19,0.07,0.07,0.81,0.02,0.02,0.233,0.002,0.002,,,,0.036486,1999,2024-05-28,252.7,0.5,0.5,10071.0,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 134987 b,,23 Lib,228.3666667,-25.3091667,6.45,,,,,22.2,1.1,1.1,0.25,0.02,0.02,1.07,0.08,0.08,1.25,0.04,0.04,G5 V,9.7,3.7,3.7,5740.0,23.0,23.0,,,HD 134987,"HD 134987, HIP 74500, GJ 579.4, HR 5657, LTT 6066, 2MASS J15132869-2518335, TYC 6766-877-1, SAO 183275, TIC 61397572, Gaia DR3 6226694571859532800, PLX 3433, * 23 Lib, CD-24 11928, CPD-24 5475, Ci 20 916, GC 20461, GCRV 8799, GEN# +1.00134987, HIC 74500, IRAS 15105-2507, NLTT 39604, PPM 263962, SKY# 27581, SPOCS 642, TD1 18030, UBV 13118, UBV M 20613, YZ 115 10850, uvby98 100134987, PLX 3433.00, GSC 06766-00877, UCAC3 130-166215, WISEA J151328.37-251834.1, WEB 12710, Gaia DR2 6226694571859532800"
23 Lib c,Confirmed,,0.03,0.03,0.82,0.03,0.03,,,,5000.0,400.0,400.0,5.8,0.5,0.5,0.12,0.02,0.02,,,,0.261261,2009,2024-05-28,195.0,48.0,48.0,11100.0,600.0,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 134987 c,,23 Lib,228.3666667,-25.3091667,6.45,,,,,22.2,1.1,1.1,0.25,0.02,0.02,1.07,0.08,0.08,1.25,0.04,0.04,G5 V,9.7,3.7,3.7,5740.0,23.0,23.0,,,HD 134987,"HD 134987, HIP 74500, GJ 579.4, HR 5657, LTT 6066, 2MASS J15132869-2518335, TYC 6766-877-1, SAO 183275, TIC 61397572, Gaia DR3 6226694571859532800, PLX 3433, * 23 Lib, CD-24 11928, CPD-24 5475, Ci 20 916, GC 20461, GCRV 8799, GEN# +1.00134987, HIC 74500, IRAS 15105-2507, NLTT 39604, PPM 263962, SKY# 27581, SPOCS 642, TD1 18030, UBV 13118, UBV M 20613, YZ 115 10850, uvby98 100134987, PLX 3433.00, GSC 06766-00877, UCAC3 130-166215, WISEA J151328.37-251834.1, WEB 12710, Gaia DR2 6226694571859532800"
24 Boo b,Confirmed,,0.11,0.11,0.91,0.11,0.11,,,,30.3506,0.0078,0.0078,0.19,0.009,0.012,0.042,0.029,0.048,,,,,2018,2023-08-07,210.0,130.0,100.0,2450008.6,7.9,10.1,,,,,,,,,,,,,,,,,,,59.9,3.3,3.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,24 Bo&ouml;,217.162500013,49.845000026,5.6,,,,,100.0,2.5,2.5,-0.77,0.03,0.03,0.99,0.13,0.19,10.64,0.59,0.84,G3IV,6.92,4.8,4.8,4893.0,15.0,15.0,,,,
